num_generations,population_length,worst_fit,best_fit,median_fit,average_fit,std_fit,best_fit_candidate_hash
0,150,0.00030176993560713405,0.000531836219705716,0.00036345065633463017,0.0003720636620775734,4.0981958782244834e-05,0
1,150,0.0003081127703508585,0.0005847785151845479,0.0003910259576383925,0.0004028680330204351,5.613416897187044e-05,0
2,150,0.0003024053490296164,0.0007002792399953919,0.00043032826103404356,0.00043757405274175496,6.708578789738153e-05,0
3,150,0.0003181790646388131,0.0007141169733882464,0.00047110185404725764,0.0004766487301207999,7.077545756337823e-05,0
4,150,0.0003284497948098048,0.0007528723531432198,0.00048305108909525566,0.0004902642474801202,7.121764869304032e-05,0
5,150,0.0003740824198181401,0.0008004843941718727,0.0004997137304481971,0.0005138973013139058,8.775023612959424e-05,0
6,150,0.00037819220094760276,0.0008881091018242285,0.0005252418525325928,0.000541931997161618,9.930953727468506e-05,0
7,150,0.0003760380810949613,0.0009778366214559639,0.0005463772707256217,0.0005705779234946018,0.0001083769029922518,0
8,150,0.0003844486862329773,0.0008395624484975613,0.0005815868740247127,0.0005938892711730837,0.0001007384872012845,0
9,150,0.0004161092583170709,0.0011102113575038894,0.0006116084612151948,0.0006273157778268646,0.00011652292454157136,0
10,150,0.0004452768303753389,0.0011102113575038894,0.0006290192560794069,0.0006610241775275396,0.00012670526993998938,0
11,150,0.00040794665028439557,0.0011792824895012009,0.0006521114135565203,0.0006784406730659492,0.00013666982786322024,0
12,150,0.00046766764581129675,0.0011792824895012009,0.0007184996552515745,0.0007354819031541536,0.00015547508846781017,0
13,150,0.00043034373701675424,0.0011792824895012009,0.000772009771084225,0.0008026834636756339,0.0001588005137506402,3
14,150,0.0005313786157248143,0.0011792824895012009,0.0008395624484975613,0.0008543877165903036,0.00017074234055417943,5
15,150,0.0005532224826624084,0.0012351015352894488,0.000897533125819111,0.0009137833826575357,0.000168505358584538,0
16,150,0.0005285319636995768,0.0012351015352894488,0.001004652891470249,0.0009879438004623952,0.00014075109070800957,2
